,id,url,subtype,transaction,owner,sell-type,provider,title,location,features,description,price,price2,m2,rooms,amueblado,parking,distrito,temporalidad,cambio_precio,baños
0,id2277003487234,https://www.habitaclia.com/alquiler-piso-de_100m2_con_dos_habitaciones_totalmente_amueblado_en_plaza_gotic-barcelona-i2277003487234.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,2277-2,Alquiler Piso Plaza del pí. Piso de 100m² con dos habitaciones totalmente amueblado en plaza,Barcelona - Gòtic,"103m2 - 2 habitaciones - 2 baños - 19,42€/m2",Piso de 100m² en Plaza del Pí con acceso a terraza comunitaria. La vivienda dispone de un amplio salón comedor exterio...,"Oportunidad
2.000 €
ha bajado 100 €",2000,103,2,No,No,Ciutat Vella,Indefinido,Si,2
1,id3974003524929,https://www.habitaclia.com/alquiler-piso-gotic-barcelona-i3974003524929.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,3974-1,Alquiler Piso Carrer de la mercè,Barcelona - Gòtic,"95m2 - 2 habitaciones - 2 baños - 20,00€/m2",EXCLUSIVIDAD - FINCA NUEVA - TERRAZA - PISCINA - WIFI - ALTO STANDING- Piso de 2 habitaciones en finca totalmente rehabi...,"1.900 €
ha bajado 100 €",1900,95,2,Si,No,Ciutat Vella,Indefinido,Si,2
2,id1948004073754,https://www.habitaclia.com/alquiler-piso-con_2_habitaciones_amueblado_con_ascensor_calefaccion_y_ai_gotic-barcelona-i1948004073754.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,1948-1,"Alquiler Piso en Gòtic. Piso con 2 habitaciones amueblado con ascensor, calefacción y ai",Barcelona - Gòtic,"63m2 - 2 habitaciones - 1 baño - 33,33€/m2",Este apartamento cómodo de buenas dimensiones tiene todo lo que necesita para vivir en el casco antiguo de Barcelona. Ub...,2.100 €,2100,63,2,Si,No,Ciutat Vella,Indefinido,No,1
3,id27758000002114,https://www.habitaclia.com/alquiler-piso-de_temporal_de_1_habitacion_a_unos_pasos_del_mar_y_barceloneta-barcelona-i27758000002114.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,27758-1,Alquiler Piso Passeig de joan de borbó. Piso de alquiler temporal de 1 habitación a unos pasos del mar y,Barcelona - Barceloneta,"52m2 - 1 habitacion - 1 baño - 33,65€/m2",Apartamento de alquiler temporal (desde 32 días a 11 meses) Disponibilidad inmediata Este moderno piso de 52 m2 tien...,1.750 €,1750,52,1,No,No,Ciutat Vella,Temporal,No,1
4,id4737003817059,https://www.habitaclia.com/alquiler-piso-planta_baja_amueblada_de_tres_dormitorios_en_el_gotico_gotic-barcelona-i4737003817059.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,4737-1,Alquiler Piso en Gòtic. Planta baja amueblada de tres dormitorios en el gótico,Barcelona - Gòtic,"150m2 - 3 habitaciones - 1 baño - 13,33€/m2","Situado en una finca regia de El Gótico, cerca de la Plaza Real y La Rambla, se ubica esta planta baja amueblada de 150...",2.000 €,2000,150,3,Si,No,Ciutat Vella,Indefinido,No,1
5,id4737003816899,https://www.habitaclia.com/alquiler-piso-en_reformado_y_amueblado_el_gotic_gotic-barcelona-i4737003816899.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,4737-1,"Alquiler Piso Carrer d'en gignàs. Piso en alquiler reformado y amueblado, el gótic",Barcelona - Gòtic,"83m2 - 2 habitaciones - 2 baños - 26,51€/m2","Disponibilidad a partir del 8 de Mayo. Accedemos al piso a través del salón-comedor, el cual está muy bien distribuid...",2.200 €,2200,83,2,Si,No,Ciutat Vella,Indefinido,No,2
6,id3974003524932,https://www.habitaclia.com/alquiler-piso-gotic-barcelona-i3974003524932.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,3974-1,Alquiler Piso Carrer de la mercè,Barcelona - Gòtic,"95m2 - 3 habitaciones - 2 baños - 23,16€/m2",EXCLUSIVIDAD - FINCA NUEVA - TERRAZA - PISCINA - WIFI - ALTO STANDING- Piso de 2 habitaciones en finca totalmente rehabi...,"2.200 €
ha bajado 200 €",2200,95,3,Si,No,Ciutat Vella,Indefinido,Si,2
8,id5352001946728,https://www.habitaclia.com/alquiler-piso-espectacular_en_en_el_borne_st_pere_sta_caterina_el_born-barcelona-i5352001946728.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,5352-1,Alquiler Piso en St. Pere - Sta. Caterina - El Born. Espectacular piso en alquiler en el borne,Barcelona - St. Pere - Sta. Caterina - El Born,"150m2 - 3 habitaciones - 3 baños - 33,33€/m2",ESTA PROPIEDAD ES TOTALMENTE EXTERIOR. LA FINCA DISPONE DE ASCENSOR Y SERVICIO DE CONSEJERÍA Berkshire Hathaway HomeS...,"5.000 €
ha bajado 1.000 €",5000,150,3,Si,No,Ciutat Vella,Indefinido,Si,3
9,id4542004335040,https://www.habitaclia.com/alquiler-piso-reformado_impecable_plaza_de_la_vila_de_madrid_4_gotic-barcelona-i4542004335040.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,4542-1,Alquiler Piso en Plaça de la vila de madrid 4. Piso reformado impecable,Barcelona - Gòtic,"75m2 - 3 habitaciones - 1 baño - 16,67€/m2",Precioso piso amueblado y completamente equipado. Reformado y limpio para entrar. Piso muy luminoso con dos balcones a...,"Oportunidad
1.250 €",1250,75,3,Si,No,Ciutat Vella,Indefinido,No,1
10,id27758000002129,https://www.habitaclia.com/alquiler-piso-comodo_y_practico_apartamento_a_pasos_de_avenida_paralelo_raval-barcelona-i27758000002129.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,27758-1,Alquiler Piso Carrer de la lleialtat. Cómodo y práctico apartamento a pasos de avenida paralelo,Barcelona - Raval,"34m2 - 1 habitacion - 1 baño - 26,18€/m2","Alquiler de temporada (desde 32 días a 11 meses). Disponible a partir del 03 de Julio, 2023 A un paso de las Rambla...",890 €,890,34,1,Si,No,Ciutat Vella,Temporal,No,1
11,id1948004073777,https://www.habitaclia.com/alquiler-piso-amueblado_con_ascensor_calefaccion_y_aire_acondicionado_gotic-barcelona-i1948004073777.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,1948-1,"Alquiler Piso en Gòtic. Piso amueblado con ascensor, calefacción y aire acondicionado",Barcelona - Gòtic,"63m2 - 1 habitacion - 1 baño - 25,40€/m2",El apartamento está situado en el Barrio Gótico que realmente es el verdadero corazón de Barcelona. Se encuentra en la z...,1.600 €,1600,63,1,Si,No,Ciutat Vella,Indefinido,No,1
12,id3974003524930,https://www.habitaclia.com/alquiler-piso-gotic-barcelona-i3974003524930.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,3974-1,Alquiler Piso Carrer de la mercè,Barcelona - Gòtic,"95m2 - 3 habitaciones - 2 baños - 23,16€/m2",EXCLUSIVIDAD - FINCA NUEVA - TERRAZA - PISCINA - WIFI - ALTO STANDING- Piso de 3 habitaciones en finca totalmente rehabi...,2.200 €,2200,95,3,Si,No,Ciutat Vella,Indefinido,No,2
13,id4737003816683,https://www.habitaclia.com/alquiler-piso-en_reformado_y_sin_amueblar_el_born_st_pere_sta_caterina_el_born-barcelona-i4737003816683.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,4737-1,"Alquiler Piso en St. Pere - Sta. Caterina - El Born. Piso en alquiler reformado y sin amueblar, el born",Barcelona - St. Pere - Sta. Caterina - El Born,"85m2 - 2 habitaciones - 2 baños - 16,47€/m2","Ubicado en el barrio del Sant Pere-Santa Caterina i la Ribera, en un enclave estratégico, muy cerca de la playa, el puer...",1.400 €,1400,85,2,No,No,Ciutat Vella,Indefinido,No,2
14,id14760003330126,https://www.habitaclia.com/alquiler-piso-de_en_el_raval_raval-barcelona-i14760003330126.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,14760-1,Alquiler Piso en Raval. Piso de alquiler en el raval,Barcelona - Raval,"70m2 - 3 habitaciones - 2 baños - 18,57€/m2","RG6667 DISPONIBILIDAD INMEDIATA. Encantador piso de 3 habitaciones, balcón mirador, 1 baño con ducha y aseo de cor...",1.300 €,1300,70,3,No,No,Ciutat Vella,Indefinido,No,2
15,id10125004018457,https://www.habitaclia.com/alquiler-piso-en_c_jonqueres_st_pere_sta_caterina_el_born-barcelona-i10125004018457.htm?pag=1&f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,10125-1,Alquiler Piso en St. Pere - Sta. Caterina - El Born. Piso en c jonqueres,Barcelona - St. Pere - Sta. Caterina - El Born,"62m2 - 2 habitaciones - 1 baño - 15,81€/m2","A escasos metros de Plaça Urquinaona y muy próximo a Plaça Catalunya, nos encontramos con este piso de 62 m2. Ubicado...",980 €,980,62,2,No,No,Ciutat Vella,Indefinido,No,1
16,id39287000001010,https://www.habitaclia.com/alquiler-piso-descubre_lo_mejor_de_con_este_apartamento_de_un_dormi_calle_de_la_ribera_10_st_pere_sta_caterina_el-barcelona-i39287000001010.htm?pag=1&f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,39287-1,"Alquiler Piso en Carrer de la ribera 10. Descubre lo mejor de barcelona, con este apartamento de un dormi",Barcelona - St. Pere - Sta. Caterina - El Born,"51m2 - 1 habitacion - 1 baño - 49,22€/m2",Este apartamento completamente amueblado y listo para disfrutar está disponible desde frecemos precios p...,2.510 €,2510,51,1,Si,No,Ciutat Vella,Indefinido,No,1
17,id5889003764140,https://www.habitaclia.com/alquiler-apartamento-planta_2_2_balcones_1_habitacion_1_bano_altillo_aire_a_st_pere_sta_caterina_el_born-barcelona-i5889003764140.htm?pag=1&f=&geo=d&coddists=100&from=list&lo=55,APARTMENT,RENT,PROFESSIONAL,SECOND_HAND,5889-1,Alquiler Apartamento en St. Pere - Sta. Caterina - El Born. Planta 2; 2 balcones; 1 habitación; 1 baño; altillo; aire a,Barcelona - St. Pere - Sta. Caterina - El Born,"59m2 - 1 habitacion - 1 baño - 21,19€/m2","Muchas veces cuando intento pensar en nuevos proyectos, ideas distintas o planes de futuro, necesito un sitio que acompa...",1.250 €,1250,59,1,No,No,Ciutat Vella,Indefinido,No,1
18,id12171004355341,https://www.habitaclia.com/alquiler-piso-buen_junto_a_sant_felip_neri_gotic-barcelona-i12171004355341.htm?pag=1&f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,12171-1,Alquiler Piso Baixada de santa eulalia. Buen piso junto a sant felip neri,Barcelona - Gòtic,"81m2 - 2 habitaciones - 2 baños - 17,28€/m2","PISO MUY LUMINOSO TOTALMENTE REFORMADO EN SU TOTALIDAD HACE POCOS AÑOS , EN PLENO CENTRO DEL BARRIO GÓTICO CON DOS HA...",1.400 €,1400,81,2,No,No,Ciutat Vella,Indefinido,No,2
19,id30785000001848,https://www.habitaclia.com/alquiler-apartamento-con_2_habitaciones_amueblado_con_ascensor_calefacci_barceloneta-barcelona-i30785000001848.htm?pag=1&f=&geo=d&coddists=100&from=list&lo=55,APARTMENT,RENT,PROFESSIONAL,SECOND_HAND,30785-1,"Alquiler Apartamento Joan de borbo. Apartamento con 2 habitaciones amueblado con ascensor, calefacci",Barcelona - Barceloneta,"85m2 - 2 habitaciones - 2 baños - 36,47€/m2","LISTO PARA ENTRAR A VIVIR, DISPONIBLE PARA ALQUILERES MENSUALES 2-11 MESES Precioso apartamento de dos dormitorios...",3.100 €,3100,85,2,Si,No,Ciutat Vella,Temporal,No,2
20,id30466000039122,https://www.habitaclia.com/alquiler-apartamento-luminoso_en_las_ramblas_raval-barcelona-i30466000039122.htm?pag=1&f=&geo=d&coddists=100&from=list&lo=55,APARTMENT,RENT,PROFESSIONAL,SECOND_HAND,30466-1,Alquiler Apartamento Carrer de les floristes de la rambla. Luminoso apartamento en las ramblas,Barcelona - Raval,"70m2 - 2 habitaciones - 2 baños - 31,07€/m2",UBK-Disponible 1-11 meses) - Sin posibilidad a visitar! Comprueba la dis...,2.175 €,2175,70,2,No,No,Ciutat Vella,Temporal,No,2
21,id3047003984313,https://www.habitaclia.com/alquiler-piso-elegante_en_estado_puro_gotic-barcelona-i3047003984313.htm?pag=1&f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,3047-1,Alquiler Piso Plaça del regomir. Piso elegante en estado puro,Barcelona - Gòtic,"80m2 - 2 habitaciones - 3 baños - 14,88€/m2","PISO ELEGANTE EN ESTADO PURO Si te gusta el estilo clásico de los pisos, y las fincas regia de Barcelona, este piso te...","Oportunidad
1.190 €
ha bajado 60 €",1190,80,2,No,No,Ciutat Vella,Indefinido,Si,3
22,id4109004382498,https://www.habitaclia.com/alquiler-piso-5_hab_3_banos_para_compartir_calle_de_la_junta_de_comerc_30_raval-barcelona-i4109004382498.htm?pag=1&f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,4109-1,Alquiler Piso en Carrer de la junta de comerç 30. 5 hab- 3 baños-para compartir,Barcelona - Raval,"140m2 - 5 habitaciones - 3 baños - 14,29€/m2","PISAZO de 140 metros, IDEAL PARA COMPARTIR, UNICO PUES TIENE 5 HAB DOBLES Y 3 CUARTOS DE BAÑOS GRANDES. ESTA REFORMAD...","Oportunidad
2.000 €
ha bajado 200 €",2000,140,5,Si,No,Ciutat Vella,Indefinido,Si,3
23,id12750000000005,https://www.habitaclia.com/alquiler-piso-con_5_habitaciones_amueblado_con_ascensor_calefaccion_y_ai_gotic-barcelona-i12750000000005.htm?pag=1&f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,12750-1,"Alquiler Piso Carrer de la ciutat. Piso con 5 habitaciones amueblado con ascensor, calefacción y ai",Barcelona - Gòtic,"161m2 - 5 habitaciones - 2 baños - 15,53€/m2","En un edificio catalogado a pocos metros de la Plaza Sant Jaume, en el corazón de Barcelona, encontramos este precioso y...","Oportunidad
2.500 €",2500,161,5,Si,No,Ciutat Vella,Indefinido,No,2
24,id4109004382501,https://www.habitaclia.com/alquiler-piso-5_hab_dobles_3_banos_completos_ideal_estudiantes_o_para_comparti_calle_de_la_junta_de_comerc_26_rava-barcelona-i4109004382501.htm?pag=1&f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,4109-1,Alquiler Piso en Carrer de la junta de comerç 26. 5 hab dobles 3 baños completos ideal estudiantes o para comparti,Barcelona - Raval,"140m2 - 5 habitaciones - 3 baños - 14,29€/m2","PISAZO de 140 metros, IDEAL PARA COMPARTIR, UNICO PUES TIENE 5 HAB DOBLES Y 3 CUARTOS DE BAÑOS GRANDES. ESTA REFORMAD...",2.000 €,2000,140,5,Si,No,Ciutat Vella,Indefinido,No,3
25,id42214000000087,https://www.habitaclia.com/alquiler-piso-en_el_gotico_ciutat_vella_gotic-barcelona-i42214000000087.htm?pag=1&f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,42214-1,Alquiler Piso Carrer de la canuda. Piso en el gótico-ciutat vella,Barcelona - Gòtic,"202m2 - 2 habitaciones - 2 baños - 9,41€/m2","Excelente piso principal en el corazón de Ciutat Vella, único en zona, ubicado en una finca clásica con ascensor y servi...","1.900 €
ha bajado 50 €",1900,202,2,No,No,Ciutat Vella,Indefinido,Si,2
26,id10849004284269,https://www.habitaclia.com/alquiler-piso-con_2_habitaciones_amueblado_con_ascensor_calefaccion_y_ai_gotic-barcelona-i10849004284269.htm?pag=1&f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,10849-1,"Alquiler Piso Carrer d'en gignàs. Piso con 2 habitaciones amueblado con ascensor, calefacción y ai",Barcelona - Gòtic,"90m2 - 2 habitaciones - 2 baños - 24,44€/m2","Este fantástico apartamento totalmente amueblado, se encuentra en la segunda planta de un edificio totalmente reformado...",2.200 €,2200,90,2,Si,No,Ciutat Vella,Indefinido,No,2
27,id45569000000003,https://www.habitaclia.com/alquiler-atico-estupendo_piso_en_la_ultima_planta_de_un_edificio_de_obra_nueva_gotic-barcelona-i45569000000003.htm?pag=1&f=&geo=d&coddists=100&from=list&lo=55,PENTHOUSE,RENT,PROFESSIONAL,SECOND_HAND,45569-1,Alquiler Ático Carrer d'en carabassa. Estupendo piso en la última planta de un edificio de obra nueva,Barcelona - Gòtic,"46m2 - 1 habitacion - 1 baño - 36,96€/m2","Oportunidad para vivir en el centro histórico en el emblemático barrio del gótico, piso en un edificio totalmente reform...","1.700 €
ha bajado 100 €",1700,46,1,Si,No,Ciutat Vella,Indefinido,Si,1
28,id13074000029947,https://www.habitaclia.com/alquiler-piso-fantastico_de_temporada_de_1_a_11_meses_en_barceloneta_barceloneta-barcelona-i13074000029947.htm?pag=1&f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,13074-4,Alquiler Piso en Barceloneta. Fantástico de temporada de 1 a 11 meses en barceloneta,Barcelona - Barceloneta,"36m2 - 1 habitacion - 1 baño - 29,17€/m2",Referencia: I2378-5 ALQUILER DE TEMPORADA ENTRE 32 DÍAS Y 11 MESES. DISPONIBLE A PARTIR DEL 16 de Marzo de 2023. Luminos...,1.050 €,1050,36,1,Si,No,Ciutat Vella,Temporal,No,1
29,id13074000029904,https://www.habitaclia.com/alquiler-piso-magnifico_de_temporada_de_1_a_11_meses_en_barceloneta_barceloneta-barcelona-i13074000029904.htm?pag=1&f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,13074-4,Alquiler Piso en Barceloneta. Magnífico de temporada de 1 a 11 meses en barceloneta,Barcelona - Barceloneta,"33m2 - 1 habitacion - 1 baño - 30,15€/m2",Referencia: T12308-2 ALQUILER DE TEMPORADA ENTRE 32 DÍAS Y 11 MESES. DISPONIBLE A PARTIR DEL 6 de Abril de 2023. Especta...,995 €,995,33,1,Si,No,Ciutat Vella,Temporal,No,1
30,id20631004435285,https://www.habitaclia.com/alquiler-atico-con_3_habitaciones_con_ascensor_calefaccion_aire_acondic_st_pere_sta_caterina_el_born-barcelona-i20631004435285.htm?pag=2&f=&geo=d&coddists=100&from=list&lo=55,PENTHOUSE,RENT,PROFESSIONAL,SECOND_HAND,20631-1,"Alquiler Ático Carrer del comerç. Ático con 3 habitaciones con ascensor, calefacción, aire acondic",Barcelona - St. Pere - Sta. Caterina - El Born,"125m2 - 3 habitaciones - 2 baños - 20,00€/m2",Se alquila magnifico ÁTICO en finca regia ubicada en el corazón del borne. Zona muy tranquila ya que está a pasos del P...,2.500 €,2500,125,3,No,No,Ciutat Vella,Indefinido,No,2
31,id4517004227657,https://www.habitaclia.com/alquiler-apartamento-amueblado_y_equipado_con_dos_dormitorios_reformado_raval-barcelona-i4517004227657.htm?pag=2&f=&geo=d&coddists=100&from=list&lo=55,APARTMENT,RENT,PROFESSIONAL,SECOND_HAND,4517-1,Alquiler Apartamento Plaça del pes de la palla. Apartamento amueblado y equipado con dos dormitorios reformado,Barcelona - Raval,"45m2 - 2 habitaciones - 1 baño - 26,67€/m2","apartamento reformado completamente equipado y amueblado a punto para entra a vivir contrato ideal para compartir, dispo...",1.200 €,1200,45,2,Si,No,Ciutat Vella,Indefinido,No,1
32,id4517004227656,https://www.habitaclia.com/alquiler-piso-luminoso_ubicado_en_finca_regia_recien_pintado_dos_habitacio_raval-barcelona-i4517004227656.htm?pag=2&f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,4517-1,"Alquiler Piso Carrer del doctor dou. Luminoso ubicado en finca regia , recién pintado dos habitacio",Barcelona - Raval,"68m2 - 2 habitaciones - 1 baño - 18,38€/m2","Piso reformado ubicado en Finca regia, luminoso, dispone de salón comedor con sol de mañana y mediodía de 17 m2, una hab...","Oportunidad
1.250 €",1250,68,2,No,No,Ciutat Vella,Indefinido,No,1
33,id10803000001020,https://www.habitaclia.com/alquiler-loft-en_frente_al_mar_en_calle_juan_de_borbon_barce_barceloneta-barcelona-i10803000001020.htm?pag=2&f=&geo=d&coddists=100&from=list&lo=55,LOFT,RENT,PROFESSIONAL,SECOND_HAND,10803-1,"Alquiler Loft Joan de borbo. Loft en alquiler frente al mar, en calle juan de borbón - barce",Barcelona - Barceloneta,"200m2 - 2 habitaciones - 2 baños - 22,50€/m2",Vivienda-Local tipo loft en alquiler (sin cédula de habitabilidad) de una superficie aproximada de 200m2 ubicado en el p...,4.500 €,4500,200,2,No,No,Ciutat Vella,Indefinido,No,2
34,id4807004429397,https://www.habitaclia.com/alquiler-piso-stantoni_raval_raval-barcelona-i4807004429397.htm?pag=2&f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,4807-1,Alquiler Piso Verge. St/antoni/ raval,Barcelona - Raval,"60m2 - 2 habitaciones - 1 baño - 15,00€/m2","Vivienda situada en el Raval / st Antoni, dispone de 60m2, con 2 habitaciones grandes , ambas con acceso a un balcón. ...",900 €,900,60,2,No,No,Ciutat Vella,Indefinido,No,1
36,id33842000000139,https://www.habitaclia.com/alquiler-atico-con_terraza_espectacular_de_temporada_calle_d_avinyo_34_gotic-barcelona-i33842000000139.htm?pag=2&f=&geo=d&coddists=100&from=list&lo=55,PENTHOUSE,RENT,PROFESSIONAL,SECOND_HAND,33842-1,Alquiler Ático en Carrer d'avinyó 34. Atico con terraza espectacular de temporada,Barcelona - Gòtic,"104m2 - 2 habitaciones - 1 baño - 19,71€/m2",**** ATICO CON TERRAZA DE 104 M2 EN ALQUILER DE TEMPORADA DSPONIBLE DEL 1 JULIO AL 15 SEPTIEMBRE ( 2 MESES Y MEDIO) *...,2.050 €,2050,104,2,Si,No,Ciutat Vella,Temporal,No,1
37,id13074000029807,https://www.habitaclia.com/alquiler-piso-de_calidad_de_temporada_de_1_a_11_meses_en_barceloneta_barceloneta-barcelona-i13074000029807.htm?pag=2&f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,13074-4,Alquiler Piso en Barceloneta. De calidad de temporada de 1 a 11 meses en barceloneta,Barcelona - Barceloneta,"34m2 - 1 habitacion - 1 baño - 29,12€/m2",Referencia: T263-0 ALQUILER DE TEMPORADA ENTRE 32 DÍAS Y 11 MESES. DISPONIBLE A PARTIR DEL 14 de Abril de 2023. Apartame...,990 €,990,34,1,Si,No,Ciutat Vella,Temporal,No,1
38,id13074000029785,https://www.habitaclia.com/alquiler-piso-esplendido_de_temporada_de_1_a_11_meses_en_st_pere_sta_cater_st_pere_sta_caterina_el_born-barcelona-i13074000029785.htm?pag=2&f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,13074-4,Alquiler Piso en St. Pere - Sta. Caterina - El Born. Espléndido de temporada de 1 a 11 meses en st. pere - sta. cater,Barcelona - St. Pere - Sta. Caterina - El Born,"32m2 - 1 habitacion - 1 baño - 34,22€/m2",Referencia: T9990-2 ALQUILER DE TEMPORADA ENTRE 32 DÍAS Y 11 MESES. DISPONIBLE A PARTIR DEL 30 de Marzo de 2023. Bonito...,1.095 €,1095,32,1,Si,No,Ciutat Vella,Temporal,No,1
39,id45569000000004,https://www.habitaclia.com/alquiler-piso-bonito_en_el_born_al_lado_del_museo_picasso_disponible_a_pa_st_pere_sta_caterina_el_born-barcelona-i45569000000004.htm?pag=2&f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,45569-1,Alquiler Piso Carrer dels banys vells. Bonito piso en el born al lado del museo picasso disponible a pa,Barcelona - St. Pere - Sta. Caterina - El Born,"102m2 - 3 habitaciones - 1 baño - 17,65€/m2","Alquiler Temporal de 1 hasta 11 meses. Bonito piso con mucho carácter, situado en pleno centro de la Ciutat Vella en el...",1.800 €,1800,102,3,Si,No,Ciutat Vella,Temporal,No,1
40,id4109004382507,https://www.habitaclia.com/alquiler-piso-pisazo_con_5_hab_dobles_3_banos_completos_ideal_a_compartir_calle_de_la_junta_de_comerc_raval-barcelona-i4109004382507.htm?pag=2&f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,4109-1,Alquiler Piso en Carrer de la junta de comerç. Pisazo con 5 hab dobles+3 baños completos ideal a compartir,Barcelona - Raval,"140m2 - 5 habitaciones - 3 baños - 14,29€/m2","PISAZO de 140 metros, IDEAL PARA COMPARTIR, UNICO PUES TIENE 5 HAB DOBLES Y 3 CUARTOS DE BAÑOS GRANDES. ESTA REFORMAD...","Oportunidad
2.000 €",2000,140,5,No,No,Ciutat Vella,Indefinido,No,3
41,id13074000029763,https://www.habitaclia.com/alquiler-piso-excelente_de_temporada_de_1_a_11_meses_en_barceloneta_barceloneta-barcelona-i13074000029763.htm?pag=2&f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,13074-4,Alquiler Piso en Barceloneta. Excelente de temporada de 1 a 11 meses en barceloneta,Barcelona - Barceloneta,"34m2 - 1 habitacion - 1 baño - 30,88€/m2",Referencia: T517-0 ALQUILER DE TEMPORADA ENTRE 32 DÍAS Y 11 MESES. DISPONIBLE A PARTIR DEL 6 de Junio de 2023. Acogedor...,1.050 €,1050,34,1,Si,No,Ciutat Vella,Temporal,No,1
42,id5844004366582,https://www.habitaclia.com/alquiler-piso-de_diseno_en_primera_linea_del_lujoso_port_vell_barceloneta-barcelona-i5844004366582.htm?pag=2&f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,5844-1,"Alquiler Piso Joan de borbó. Piso de diseño, en primera línea del lujoso port vell",Barcelona - Barceloneta,"92m2 - 2 habitaciones - 1 baño - 20,65€/m2",DISPONIBLE A PARTIR DE 25 DE JULIO DE 2023. SE ALQUILA POR TEMPORADA MÍNIMO 2 MESES. Un soleado apartamento de diseñ...,1.900 €,1900,92,2,No,No,Ciutat Vella,Temporal,No,1
43,id12061003949364,https://www.habitaclia.com/alquiler-piso-con_3_habitaciones_con_calefaccion_y_aire_acondicionado_barceloneta-barcelona-i12061003949364.htm?pag=2&f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,12061-1,Alquiler Piso Atlantida. Piso con 3 habitaciones con calefacción y aire acondicionado,Barcelona - Barceloneta,"70m2 - 3 habitaciones - 1 baño - 24,29€/m2","ALQUILER DE TEMPORADA ESTANCIA MÍNIMA 32 DIAS MÁXIMA HASTA 11 MESES. Precioso piso recientemente reformado, con 3 ha...",1.700 €,1700,70,3,No,No,Ciutat Vella,Temporal,No,1
